"sentence_id","Tokens","Word_Level_BIOES","Detected_PII_Types"
"s_000","41 years old","B-Age I-Age E-Age","Age"
"s_001","37 years old","B-Age I-Age E-Age","Age"
"s_002","reach me at 0000000001","O O O S-Contact","Contact"
"s_003","1000000002 . Sample Bank","S-Contact O O O","Contact"
"s_004","#COVID19 Data/Graphs for 5/3/2020 ( 2/3 ) https://example.com/aaa","O O O S-Date O O O O","Date"
"s_005","#Region #Covid19 tally to cross 40000 . May cross 50K mark by 25th May 2020","O O O O O O O O O O O O O B-Date E-Date","Date"
"s_006","Watch out for the following #covid19 super scam number 1000000003 https://example.com/bbb","O O O O O O O O B-ID E-ID O","ID"
"s_007","@user_aaaaa @user_bbbbb You can add this to the whole conversation https://example.com/ccc","S-ID O O O O O O O O O O","ID"
"s_008","#COVID19 situation especially serious in CityA , CityB , CityC , CityD , CityE : Home Ministry . ( source )","O O O O O S-Location O S-Location O S-Location O S-Location O S-Location O O O O O O O","Location"
"s_009","Coffee tomorrow ! #COVID19 level 4 still on . 0000000004 for contactless brew in NeighborhoodX https://example.com/ddd","O O O O O O O O O O O O O O S-Location O","Location"
"s_010","Detective Aaa Detective Bbb Detective Ccc Detective Ddd Inspector Eee","B-Name E-Name B-Name E-Name B-Name E-Name O O O S-Name","Name"
"s_011","Was it : a ) Person Aaa b ) Person Bbb c ) Person Ccc d ) Person Ddd","O O O O O B-Name E-Name O O B-Name I-Name E-Name O B-Name I-Name E-Name O B-Name E-Name","Name"
"s_012","Yeah I guess CountryA , CountryB , CountryC CountryD , and CountryE did n't listen to the WHO . Dr. Aaa did , Bbb did .","O O O O O S-Location O B-Location E-Location O O S-Location O O O O O O O O S-Name O O S-Name O O","Location, Name"
"s_013","Thank you , @user_eeeee Person Eee | CityF CityG CityH CityI : ) https://example.com/eee","O O O O B-Name E-Name O B-Location E-Location B-Location E-Location O O S-Location","Location, Name"
"s_014","#Ramadan in CityJ , CountryF . May 2020 . #COVID19 #tag @user_fffff","O O S-Location O S-Location O B-Date E-Date O O O O","Date, Location"
"s_015","#COVID19 CountryG has banned commercial flight sales until the 1st September 2020 #CountryG","O S-Location O O O O O O B-Date I-Date I-Date E-Date S-Location","Date, Location"
"s_016","#tag @user_ggggg 0000000005 sample bank","B-Name E-Name S-Contact O O","Contact, Name"
"s_017","Sir me also no Rationcard please help sir 1000000006","O O O O S-Name O O O S-Contact","Contact, Name"
"s_018","Average age of #COVID19 patients in RegionH : 41.5 years old . #tag","O O O O O O S-Location O B-Age I-Age E-Age O O","Age, Location"
"s_019","Software engineer at TechCo #covid19 #CityK @user_hhhhh","B-Profession E-Profession O S-Name O S-Location O","Profession, Location, Name"
